Longitude,Latitude,Elevation Meters
4.22839,51.942948,1
4.228538,51.943,1
4.228785,51.943188,1
4.229035,51.943387,1
4.229062,51.943461,2
4.229313,51.943643,2
4.229502,51.943781,3
4.22963,51.943853,4
4.229761,51.943922,4
4.229903,51.943963,3
4.230076,51.943982,3
4.230167,51.943968,4
4.230263,51.943937,4
4.230354,51.943966,4
4.23046,51.944,4
4.230544,51.944026,4
4.230773,51.943741,3
4.230968,51.943545,3
4.231146,51.943372,3
4.23137,51.943127,2
4.23157,51.942932,2
4.231716,51.942971,1
4.231851,51.943002,1
4.232196,51.943078,1
4.233356,51.943417,1
4.234192,51.943627,1
4.234736,51.943778,-1
4.235444,51.943939,-1
4.236044,51.944047,-1
4.236385,51.944095,-1
4.236845,51.944144,-1
4.237148,51.944152,-1
4.23755,51.944144,-1
4.238022,51.944095,-1
4.239166,51.943918,-2
4.240287,51.943766,1
4.241681,51.943571,1
4.241889,51.943545,1
4.242233,51.943503,1
4.242501,51.943504,1
4.242712,51.943531,1
4.243357,51.943693,1
4.244112,51.943869,1
4.244986,51.944046,-1
4.245202,51.944081,-1
4.245346,51.944106,-1
4.245479,51.944157,-1
4.245555,51.94423,-1
4.245657,51.944208,-1
4.245824,51.944201,-1
4.246159,51.94427,-1
4.246496,51.944368,-1
4.246739,51.944459,-1
4.247133,51.944646,-1
4.247192,51.944595,-1
4.247283,51.944529,-1
4.24756,51.944627,-1
4.247659,51.944617,-1
4.247984,51.944544,-1
4.250076,51.944946,-1
4.250338,51.944554,-1
4.250448,51.944485,-1
4.250546,51.944314,-1
4.250843,51.943759,-1
4.250894,51.943618,-1
4.251587,51.94372,-1
4.251668,51.943733,-1
4.252009,51.943746,-1
4.252048,51.943671,-1
4.252345,51.943095,-1
4.252485,51.942948,-1
4.25347,51.943073,-1
4.253838,51.94223,-1
4.25392,51.942203,-1
4.254161,51.941796,-1
4.254364,51.941418,-1
4.254411,51.941352,-1
4.254444,51.941297,-1
4.254482,51.941174,-1
4.254575,51.940704,-1
4.254602,51.940632,-1
4.254806,51.940352,-1
4.254939,51.940171,-1
4.254995,51.940101,-1
4.255023,51.940053,-1
4.255043,51.939921,-1
4.255381,51.939444,-1
4.255804,51.938855,-1
4.257293,51.939177,-2
4.257327,51.939123,-2
4.257799,51.938853,-2
4.257897,51.938807,-2
4.258126,51.938724,-2
4.258275,51.938686,-2
4.25835,51.938661,-2
4.258388,51.938613,-2
4.258802,51.93793,-2
4.258812,51.937877,-2
4.258898,51.937729,-2
4.258994,51.9376,-1
4.259176,51.937391,-1
4.259308,51.937327,-1
4.259506,51.9373,-1
4.259978,51.937246,-1
4.260137,51.937159,-1
4.260247,51.937147,-1
4.260507,51.937195,-1
4.260612,51.93725,-1
4.260747,51.937351,-1
4.260951,51.937408,-1
4.261421,51.937505,-1
4.261494,51.937499,-1
4.261657,51.937361,-1
4.261756,51.937325,-1
4.261925,51.937309,-1
4.262186,51.937345,-1
4.2625,51.9374,-1
4.263389,51.937577,-1
4.264227,51.937783,-1
4.26561,51.93812,-2
4.265703,51.938174,-2
4.265798,51.938244,-2
4.265899,51.93831,-2
4.266023,51.938352,-2
4.26615,51.938359,-2
4.266254,51.938342,-2
4.266337,51.938334,-2
4.266443,51.938332,-2
4.266546,51.93835,-2
4.266785,51.93841,-2
4.268068,51.938732,-1
4.268238,51.938773,-2
4.268423,51.93849,-2
4.270106,51.938913,-1
4.271842,51.939361,-1
4.271973,51.939384,-1
4.27209,51.939382,-1
4.272505,51.939355,-1
4.272702,51.939312,-1
4.272783,51.939269,-1
4.272948,51.939156,-1
4.273106,51.939043,-1
4.273138,51.938961,-1
4.273145,51.9389,1
4.273127,51.938853,1
4.273049,51.93868,1
4.272993,51.938595,1
4.272744,51.938138,1
4.272619,51.937836,1
4.272566,51.937717,1
4.272262,51.93773,1
4.272151,51.937737,1
4.27209,51.937507,1
4.272105,51.936925,1
4.272061,51.936882,1
4.27198,51.936848,1
4.272018,51.936795,1
4.272036,51.936735,1
4.272048,51.936674,1
4.27203,51.93649,1
4.272022,51.936442,1
4.271752,51.936445,1
4.271642,51.936412,1
4.271591,51.93637,1
4.271588,51.936211,1
4.271717,51.93599,1
4.271703,51.935733,1
4.271567,51.935409,1
4.271415,51.935072,1
4.271295,51.934765,1
4.271206,51.934446,1
4.27139,51.934374,1
4.271454,51.934279,-1
4.271378,51.934277,-1
